 Offset(V)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
0x17930da8 ---------- ------------------     0xc0df     1         223         0      OLEUI_MSG_CLOSEBUSYDIALOG
0x17930da8 ---------- ------------------     0xc113     2         275         0      MGMTAPI Notification Class
0x17930da8 ---------- ------------------     0xc125     2         293         0      HidPhoneNotifClass
0x17930da8 ---------- ------------------     0xc006     1          6          1      FileName
0x17930da8 ---------- ------------------     0xc09a     3         154         0      DDEEXECUTESHORTCIRCUIT
0x17930da8 ---------- ------------------     0xc0b5     4         181         0      CiceroUIWndFrame
0x17930da8 ---------- ------------------     0xc0cd     2         205         0      InShellDragLoop
0x17930da8 ---------- ------------------     0xc12a     2         298         0      hatchwin
0x17930da8 ---------- ------------------     0xc151     2         337         0      Internet Message (rfc822/rfc1522)
0x17930da8 ---------- ------------------     0xc19f     2         415         0      SCardUIReaderArrival
0x17930da8 ---------- ------------------     0xc03c     72         60         0      ReBarWindow32
0x17930da8 ---------- ------------------     0xc054     28         84         0      6.0.2600.5512!SysTabControl32
